
2016-10-11T20:18:02.721Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:18:03.701Z - info: Displaying account details || user_id :6
2016-10-11T20:18:18.402Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:18:19.344Z - info: Displaying account details || user_id :6
2016-10-11T20:20:07.212Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:20:08.162Z - info: Displaying account details || user_id :6
2016-10-11T20:20:48.909Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:20:49.858Z - info: Displaying account details || user_id :6
2016-10-11T20:22:34.702Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:22:35.625Z - info: Displaying account details || user_id :6
2016-10-11T20:23:23.730Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:23:24.643Z - info: Displaying account details || user_id :6
2016-10-11T20:24:43.348Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:24:44.310Z - info: Displaying account details || user_id :6
2016-10-11T20:24:59.904Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:25:00.829Z - info: Displaying account details || user_id :6
2016-10-11T20:25:19.761Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:25:20.694Z - info: Displaying account details || user_id :6
2016-10-11T20:25:38.791Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:25:40.424Z - info: Displaying account details || user_id :6
2016-10-11T20:25:45.272Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:25:46.134Z - info: Displaying account details || user_id :6
2016-10-11T20:26:02.774Z - info: Displaying account details || user_id :6
2016-10-11T20:26:05.875Z - info: Redirecting to home page || user_id :6
2016-10-11T20:26:06.697Z - info: Displaying items for home page || user_id :6
2016-10-11T20:26:12.331Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:26:13.402Z - info: Displaying account details || user_id :6
2016-10-11T20:26:28.478Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:26:30.070Z - info: Displaying account details || user_id :6
2016-10-11T20:26:42.062Z - info: Redirecting to my account page || user_id :6
2016-10-11T20:26:43.012Z - info: Displaying account details || user_id :6
2016-10-11T20:27:56.895Z - info: Displaying my collection details || user_id :6
2016-10-11T20:27:57.585Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:34:14.947Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T20:34:17.712Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:37:24.825Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T20:38:02.619Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:38:25.877Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T20:38:28.424Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:46:11.701Z - info: Displaying my collection details || user_id :6
2016-10-11T20:46:12.349Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:52:17.110Z - info: Redirecting to home page || anonymous user
2016-10-11T20:52:17.722Z - info: Displaying items for home page || anonymous user
2016-10-11T20:52:19.256Z - info: Redirecting to login page
2016-10-11T20:52:22.566Z - info: User logged in ||user_id :6
2016-10-11T20:52:22.593Z - info: Redirecting to home page || user_id :6
2016-10-11T20:52:23.092Z - info: Displaying items for home page || user_id :6
2016-10-11T20:52:25.719Z - info: Displaying my collection details || user_id :6
2016-10-11T20:52:26.329Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:53:07.113Z - info: Displaying my collection details || user_id :6
2016-10-11T20:53:07.220Z - info: Displaying my collection details || user_id :6
2016-10-11T20:53:07.631Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:58:04.774Z - info: Displaying my collection details || user_id :6
2016-10-11T20:58:05.434Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T20:58:26.344Z - info: Displaying my collection details || user_id :6
2016-10-11T20:58:28.922Z - info: Displaying my collection details || user_id :6
2016-10-11T20:58:31.413Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:02:34.441Z - info: Displaying my collection details || user_id :6
2016-10-11T21:02:35.521Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:02:47.006Z - info: Displaying my collection details || user_id :6
2016-10-11T21:02:47.664Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:04:33.167Z - info: Displaying my collection details || user_id :6
2016-10-11T21:04:33.887Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:07:16.006Z - info: Displaying my collection details || user_id :6
2016-10-11T21:07:16.997Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:07:46.228Z - info: Displaying my collection details || user_id :6
2016-10-11T21:07:46.811Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:07:58.818Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:12:52.212Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:12:54.217Z - info: Displaying my collection details || user_id :6
2016-10-11T21:12:54.906Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:12:58.721Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:13:01.839Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:13:02.967Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:13:04.655Z - info: Displaying my collection details || user_id :6
2016-10-11T21:13:05.397Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:13:07.090Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:13:08.190Z - info: Displaying my collection details || user_id :6
2016-10-11T21:13:08.821Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:17:23.831Z - info: Displaying my collection details || user_id :6
2016-10-11T21:17:24.407Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:17:26.961Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:17:29.580Z - info: Displaying my collection details || user_id :6
2016-10-11T21:17:30.140Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:17:32.058Z - info: Displaying my collection details || user_id :6
2016-10-11T21:17:32.604Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:17:34.236Z - info: Displaying my collection details || user_id :6
2016-10-11T21:17:34.863Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:17:36.715Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:19:04.060Z - info: Displaying my collection details || user_id :6
2016-10-11T21:19:05.451Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:21:42.451Z - info: Displaying my collection details || user_id :6
2016-10-11T21:21:43.894Z - info: Displaying  my collection details for order history || user_id :6
2016-10-11T21:21:49.770Z - info: Displaying  my collection details for selling history || user_id :6
2016-10-11T21:23:30.666Z - info: Displaying my collection details || user_id :6
2016-10-11T21:23:31.292Z - info: Displaying  my collection details for order history || user_id :6
